id,name,category
1,불오징어덮밥,밥 한식 매콤 짭짤
2,알리오올리오,면 양식 담백 기름진
3,어묵우동,면 국물 일식 고소
4,사케동,밥 일식 기름진 달콤
5,연어스테이크,고기 양식 담백 기름진
6,삼계탕,국물 한식 밥 담백 고소
7,함박스테이크,고기 양식 짭짤 기름진
8,육전,고기 한식 짭짤 담백 기름진
9,장칼국수,면 한식 매콤 짭짤
10,조개크림파스타,면 양식 느끼 고소 담백
11,중국식볶음우동,면 중식 기름진 느끼
12,참치아보카도김밥,밥 한식 느끼 고소 담백
13,치킨마요덮밥,밥 한식 달콤 고소 담백
14,카레우동,면 일식 고소 짭짤 담백
15,칠리새우오므라이스,밥 중식 매콤 기름진
16,크림카레우동,면 일식 고소 담백
17,타마고산도,일식 고소 담백 달콤
18,탄탄면,면 일식 고소 담백
19,해물라면,면 일식 매콤 짭짤
20,해산물파스타,면 양식 짭짤 달콤
21,고추참치볶음밥,밥 한식 매콤 짭짤
22,곱창볶음밥,밥 고기 짭짤 기름진
23,김치비빔국수,면 한식 매콤 짭짤
24,꼬막비빔밥,밥 한식 짭짤
25,돈까스김치나베,일식 고기 짭짤 매콤 담백
26,된장삼겹살덮밥, 밥 한식 고소 담백 짭짤
27,떡볶이,한식 매콤 짭짤 달콤
28,알밥,한식 밥 매콤 짭짤
29,감바스,국물 양식 느끼 기름진
30,메밀소바,일식 국물 면 짭짤 담백
31,명란비빔우동,일식 면 느끼 짭짤
32,명란아보카도비빔밥,밥 느끼 담백 짭짤
33,바질새우파스타,양식 면 담백 짭짤
34,크림리조또,양식 밥 느끼
35,햄버거,양식 고기 느끼 기름진
36,브루스케타,양식 짭짤 담백
37,삼겹살덮밥,한식 고기 기름진 짭짤
38,삼치스테이크,한식 고기 짭짤
39,애호박국수,한식 면 짭짤
40,야끼소바,일식 면 짭짤 느끼
41,열무김치냉면,한식 면 국물 매콤
42,채끝스테이크,양식 고기 느끼 기름진
43,치즈밥,한식 밥 매콤 짭짤 느끼
44,토마토홍합스튜,양식 국물 매콤 짭짤
45,닭죽,한식 밥 담백
46,홍합탕,한식 국물 매콤 담백
47,명란크림우동,일식 면 기름진 느끼
48,경양식 돈까스,한식 고기 기름진 짭짤
49,김치칼국수,한식 면 매콤 짭짤
50,까르보나라,양식 면 느끼
51,비빔밥,한식 밥 매콤 담백
52,돈까스덮밥,밥 고기 일식 기름진 담백
53,투움바파스타,면 양식 느끼 고소 담백
54,우동,면 국물 일식 짭짤 담백
55,순대국밥,밥 국물 한식 담백
56,스팸마요덮밥,밥 일식 느끼 달콤 짭짤 
57,오징어짬뽕,면 국물 중식 매콤 고소
58,고등어구이정식,밥 한식 짭짤 담백
59,치즈베이컨그라탕,양식 느끼 고소 기름진
60,해장라면,면 국물 매콤 담백
61,냉우동,면 국물 일식 고소 담백 짭짤
62,라비올리,면 양식 느끼 고소 담백
63,콩나물밥,밥 한식 짭짤 담백
64,고구마콘그라탕,양식 느끼 고소 짭짤 기름진
65,골뱅이비빔면,면 한식 매콤 짭짤
66,김치리조또,밥 양식 매콤 느끼 고소
67,김치전,한식 매콤 짭짤 고소
68,달걀죽,밥 국물 한식 고소 담백 짭짤
69,닭가슴살샐러드,양식 고소 담백
70,간장게장,한식 짭짤 고소 담백
71,양념게장,한식 매콤 짭짤 담백
72,돈코츠라멘,면 국물 일식 고소 담백
73,동치미국수,면 국물 한식 매콤 담백 
74,크림파스타,면 양식 느끼 고소 담백
75,라볶이,면 한식 매콤 짭짤 
76,리코타치즈샐러드,양식 느끼 고소 담백
77,만두그라탕,양식 느끼 고소 담백 기름진
78,수제비,한식 담백 고소 짭짤
79,피자,양식 느끼 고소 짭짤 기름진
80,월남쌈,중식 고소 담백
81,보쌈,한식 고기 담백
82,족발,한식 고기 기름진
83,삼겹살,한식 고기 기름진 짭짤
84,쌀국수,중식 고소 담백 국물 면
85,치킨,한식 느끼 기름진 짭짤
86,순두부찌개,밥 국물 한식 매콤 담백
87,탕수육,중식 고기 짭짤 기름진
88,쌈밥,밥 한식 담백
89,티본스테이크,고기 양식 느끼 기름진
90,대창덮밥,밥 일식 달콤 느끼 기름진
91,매운탕,국물 한식 매콤 짭짤
92,돈까스김밥,밥 한식 느끼 담백
93,돼지불백,밥 한식 달콤 짭짤
94,미소라멘,면 일식 고소 짭짤 담백
95,마늘볶음밥,밥 한식 느끼 담백
96,명란파스타,면 양식 느끼 짭짤
97,묵사발,국물 한식 매콤 짭짤
98,물냉면,면 한식 달콤 담백
99,봉골레 파스타,면 양식 느끼 짭짤 담백
100,뚝배기불고기,밥 한식 달콤 짭짤
101,제육덮밥,밥 한식 매콤 기름진
102,떡만두국,국물 한식 고소 담백
103,떡국,국물 한식 고소 담백
104,김치참치컵밥,밥 한식 매콤 짭짤
105,베이컨볶음밥,밥 양식 느끼 짭짤
106,하우스샐러드,양식 담백
107,가츠동,밥 일식 달콤 느끼
108,연어회덮밥,밥 일식 담백 기름진
109,감자탕,국물 한식 매콤 짭짤
110,오야코동,밥 일식 담백 기름진
111,오징어순대,고기 한식 담백
112,크림스프,국물 양식 느끼 고소
113,짜장면,면 중식 짭짤 담백 기름진
114,쫄면,면 한식 매콤 짭짤
115,초계국수,면 한식 달콤 담백
116,닭발,고기 한식 매콤 짭짤
117,카프레제샐러드,양식 달콤 담백
118,토마토파스타,면 양식 짭짤 담백
119,김치볶음밥,밥 한식 매콤 짭짤 
120,목살샐러드,양식 느끼 담백
121,잔치국수,면 한식 짭짤 담백
122,치즈불닭,고기 한식 매콤 짭짤
123,돼지갈비,고기 한식 달콤 느끼 짭짤 기름진
124,육회,고기 한식 달콤 짭짤 담백
125,해물파전,한식 느끼 기름진 짭짤 담백
126,야채곱창,고기 한식 매콤 짭짤 기름진
127,곱창구이,고기 한식 느끼 기름진
128,초밥,밥 일식 담백
129,샤브샤브,국물 한식 담백
130,설렁탕,밥 국물 한식 담백
131,회,고기 한식 담백
132,일식돈까스,고기 일식 느끼 기름진
133,샌드위치,양식 담백
134,김치찌개,밥 국물 한식 담백 매콤 짭짤
135,된장찌개,밥 국물 한식 담백 짭짤
136,닭볶음탕,고기 한식 매콤 짭짤
137,갈비탕,밥 국물 한식 담백
138,갈치조림,한식 고기 매콤 짭짤
139,낙지볶음,고기 한식 매콤 짭짤
140,마라탕,국물 중식 매콤 짭짤
